TICID,Camera,CCD,Tmag,RA,Dec,sector
356613625,4,3,15.96,312.6574,42.7717,76
356700488,3,1,8.21,254.4557,68.6995,76
356700577,3,1,8.03,254.5621,68.9776,76
356788459,3,1,16.36,268.9967,72.9623,76
356822524,3,1,16.99,275.0691,70.89,76
356916207,3,2,9.98,273.3774,55.2069,76
356978367,3,2,7.68,273.8408,57.3352,76
357032981,3,2,14.93,274.1222,54.3866,76
357045538,3,2,8.04,274.3729,55.4565,76
357097047,3,2,8.52,274.7951,56.1732,76
357128775,3,2,15.83,275.3884,58.0786,76
357129171,3,2,8.07,275.363,58.8574,76
357303241,1,2,16.51,202.6581,54.7565,76
357371372,2,4,8.03,217.9657,49.5857,76
357371959,2,4,7.55,218.1282,49.1841,76
357372071,2,4,10.83,218.0545,49.6509,76
357373129,2,4,6.29,218.3681,52.9105,76
357459690,4,3,14.24,315.5755,45.3368,76
357657732,4,3,5.26,321.3333,46.7147,76
357686299,3,2,14.23,275.124,58.078,76
357687021,3,2,8.16,275.1829,56.7111,76
358736833,4,2,8.01,317.6875,49.8404,76
358767963,2,3,6.97,209.1049,65.3488,76
359496072,3,3,8.3,279.0695,54.9395,76
359496198,3,3,12.34,279.229,55.1329,76
359675849,3,3,7.35,280.7076,57.8653,76
359678852,3,3,8.01,281.0332,56.3738,76
362105045,3,1,15.05,268.3369,70.4261,76
364181005,3,4,7.87,312.8164,72.9481,76
364186175,3,4,16.02,313.5038,72.611,76
364186197,3,4,8.82,313.5111,72.5807,76
364567948,4,2,7.18,310.7581,52.2966,76
364689006,4,2,14.77,299.3684,53.5343,76
364731059,4,2,8.05,310.9108,49.4188,76
364758389,4,2,8.04,299.3902,48.6796,76
364903891,4,2,6.84,301.4176,48.5669,76
364908802,4,2,8.06,301.3933,50.5685,76
364966239,3,3,14.88,298.212,58.1436,76
365053107,4,2,8.08,305.6015,58.1057,76
365099333,4,2,16.87,305.4917,54.9124,76
365120801,4,2,8.2,311.5114,52.7794,76
365280520,4,1,16.9,327.5011,54.1453,76
365398337,4,4,16.32,323.8142,50.4807,76
365496228,4,4,13.92,323.8678,49.0609,76
365613123,4,4,16.61,324.0065,49.9155,76
365670764,4,1,6.74,313.3325,62.1492,76
365673804,3,4,8.34,313.3394,64.2293,76
365701400,4,1,15.04,323.981,53.0707,76
365733349,3,4,9.93,313.1673,65.6086,76
365760877,4,2,6.27,312.4031,51.314,76
365966493,1,3,17.7,178.4836,40.027,76
366262118,4,2,17.22,312.9369,49.4282,76
366561246,3,4,8.11,304.2706,72.8805,76
367840218,3,1,16.46,276.2883,77.9266,76
367855829,3,1,9.96,276.8682,73.2646,76
371855011,1,2,8.36,198.3389,51.1239,76
371972309,4,4,16.77,330.6518,42.003,76
372004200,4,1,15.13,327.2171,54.6496,76
372019916,4,3,15.59,324.5507,41.6884,76
372181885,4,3,14.5,324.721,40.4043,76
372243284,4,3,8.01,324.7767,40.8244,76
372749943,3,4,8.01,311.9755,72.7652,76
373441413,4,3,14.16,320.1751,38.898,76
373445744,4,3,5.83,320.2558,40.3435,76
373693175,1,3,11.63,188.2662,44.9154,76
373693382,1,3,16.24,188.3609,46.2245,76
373758354,4,3,8.14,320.6126,38.0969,76
375264406,4,1,8.83,315.5586,54.3248,76
375506058,4,1,7.8,316.2037,55.5881,76
376020501,3,4,15.59,317.469,65.1229,76
376504018,1,3,7.58,182.0852,43.9075,76
376505380,1,3,7.88,182.3164,42.4816,76
376645976,1,4,9.81,198.2986,31.6383,76
376653078,1,4,9.5,198.551,31.0678,76
376690451,1,3,12.26,187.8644,39.1704,76
376690623,1,3,12.66,187.8331,38.0902,76
376847347,3,1,7.3,275.2057,70.0732,76
376867898,3,1,8.47,276.1045,69.0977,76
376925533,3,1,8.05,284.5592,75.7641,76
376926030,3,1,6.17,284.4871,77.0504,76
376930392,3,3,16.71,283.8246,53.9895,76
376995369,3,3,8.02,284.4263,59.7295,76
377053047,3,3,14.56,284.9461,57.6758,76
377053424,3,3,8.46,284.94,58.2371,76
377159029,3,3,13.83,285.6135,58.0591,76
377255901,3,3,7.88,286.4488,56.8413,76
377295633,3,3,8.17,286.8263,56.5959,76
383647032,3,2,8.01,278.6853,63.4659,76
383647145,3,2,7.54,278.7887,63.6947,76
383647463,3,2,16.8,278.8239,64.3557,76
383647517,3,2,16.99,278.7519,64.4874,76
383648451,3,2,8.24,279.0443,65.075,76
383673177,3,2,7.66,279.1429,63.3635,76
383673264,3,2,16.33,278.9383,63.2149,76
383675945,3,2,7.96,279.2209,61.7009,76
383770760,4,1,12.03,322.0453,53.7292,76
384189169,4,4,7.14,327.6529,49.4377,76
387260717,3,4,9.98,309.3489,70.954,76
387450837,3,4,8.02,311.5375,70.7726,76
387451435,3,4,8.4,311.4533,71.7736,76
387526927,3,4,7.55,312.3752,71.7755,76
387700153,3,4,8.02,314.2997,68.0215,76
387813184,3,4,16.87,315.4697,68.1644,76
387858908,4,4,14.14,325.4601,51.9293,76
387933691,4,4,8.14,325.4624,50.5289,76
387953412,3,4,7.5,316.7371,69.675,76
388076422,3,4,13.23,317.9001,68.4021,76
388135434,3,4,8.06,318.2265,66.8011,76
388257467,4,1,15.86,326.3044,56.8853,76
389789119,1,3,7.92,190.1557,40.2884,76
389790029,1,4,8.07,190.2833,37.2048,76
389852937,1,4,8.74,191.1752,36.764,76
389853984,1,3,9.05,191.4015,40.8119,76
389854403,1,4,8.58,191.4211,38.3579,76
389912969,1,4,17.34,192.8463,38.008,76
389916508,3,2,8.23,275.8846,59.4534,76
389917311,3,2,7.38,275.993,58.8244,76
389917321,3,2,7.45,275.9766,58.8022,76
390017653,3,2,8.04,277.5516,58.2133,76
390019679,3,3,15.16,277.5813,54.7928,76
393885338,1,3,8.02,191.3399,46.4796,76
393888041,1,3,16.47,192.1982,41.8853,76
393888836,1,3,8.04,192.5214,42.2178,76
393893813,1,1,7.98,198.4202,46.4759,76
393895275,1,4,7.39,200.1077,43.1106,76
393895924,1,1,17.28,200.0476,47.2056,76
393896214,1,1,14.67,200.3106,46.3905,76
393910903,1,4,8.07,200.636,42.7029,76
393911299,1,1,11.55,207.1881,43.6331,76
393927434,1,1,16.89,207.5839,43.9639,76
393944463,1,1,16.6,207.8288,42.8863,76
